,material_id,metal,anion,formula,oxidationstate,name
206,mp-28013,Mn,I,Mn1 I2,2.0,mp-28013Mn1_I2
207,mp-28233,Mn,Cl,Mn1 Cl2,2.0,mp-28233Mn1_Cl2
208,mp-28306,Mn,Br,Mn1 Br2,2.0,mp-28306Mn1_Br2
209,mp-561659,Mn,F,Mn8 F32,4.0,mp-561659Mn8_F32
210,mp-556560,Mn,F,Mn6 F18,3.0,mp-556560Mn6_F18
211,mp-560902,Mn,F,Mn2 F4,2.0,mp-560902Mn2_F4
212,mp-565203,Mn,O,Mn32 O48,3.0,mp-565203Mn32_O48
213,mp-18759,Mn,O,Mn6 O8,2.6666666666666665,mp-18759Mn6_O8
214,mp-19395,Mn,O,Mn4 O8,4.0,mp-19395Mn4_O8
215,mp-19006,Mn,O,Mn2 O2,2.0,mp-19006Mn2_O2
216,mvc-14047,Mn,S,Mn1 S2,4.0,mvc-14047Mn1_S2
217,mp-1783,Mn,S,Mn2 S2,2.0,mp-1783Mn2_S2
218,mp-9981,Mn,N,Mn8 N4,1.5,mp-9981Mn8_N4
219,mp-1009130,Mn,N,Mn1 N1,3.0,mp-1009130Mn1_N1
220,mp-505622,Mn,N,Mn4 N1,0.75,mp-505622Mn4_N1
221,mp-571122,Fe,I,Fe1 I2,2.0,mp-571122Fe1_I2
222,mp-23229,Fe,Cl,Fe1 Cl2,2.0,mp-23229Fe1_Cl2
223,mp-583463,Fe,Cl,Fe6 Cl18,3.0,mp-583463Fe6_Cl18
224,mp-1225059,Fe,Cl,Fe2 Cl8,4.0,mp-1225059Fe2_Cl8
225,mp-22880,Fe,Br,Fe1 Br2,2.0,mp-22880Fe1_Br2
226,mp-23232,Fe,Br,Fe2 Br6,3.0,mp-23232Fe2_Br6
227,mp-556911,Fe,F,Fe2 F4,2.0,mp-556911Fe2_F4
228,mp-556197,Fe,F,Fe2 F6,3.0,mp-556197Fe2_F6
229,mp-715572,Fe,O,Fe16 O24,3.0,mp-715572Fe16_O24
230,mp-19306,Fe,O,Fe6 O8,2.6666666666666665,mp-19306Fe6_O8
231,mp-1178232,Fe,O,Fe2 O2,2.0,mp-1178232Fe2_O2
232,mp-505531,Fe,S,Fe2 S2,2.0,mp-505531Fe2_S2
233,mp-1522,Fe,S,Fe2 S4,4.0,mp-1522Fe2_S4
234,mp-6988,Fe,N,Fe1 N1,3.0,mp-6988Fe1_N1
235,mp-1804,Fe,N,Fe6 N2,1.0,mp-1804Fe6_N2
236,mp-696114,Co,Cl,Co1 Cl2,2.0,mp-696114Co1_Cl2
237,mp-30033,Co,Br,Co1 Br2,2.0,mp-30033Co1_Br2
238,mvc-13941,Co,F,Co2 F8,4.0,mvc-13941Co2_F8
239,mp-556520,Co,F,Co2 F4,2.0,mp-556520Co2_F4
240,mp-561038,Co,F,Co2 F6,3.0,mp-561038Co2_F6
241,mp-1116784,Co,O,Co4 O8,4.0,mp-1116784Co4_O8
242,mp-18748,Co,O,Co6 O8,2.6666666666666665,mp-18748Co6_O8
243,mp-24864,Co,O,Co2 O2,2.0,mp-24864Co2_O2
244,mp-943,Co,S,Co6 S8,2.6666666666666665,mp-943Co6_S8
245,mp-2070,Co,S,Co4 S8,4.0,mp-2070Co4_S8
246,mp-1513,Co,S,Co9 S8,1.7777777777777777,mp-1513Co9_S8
247,mp-22631,Co,N,Co4 N2,1.5,mp-22631Co4_N2
248,mp-448,Co,N,Co1 N1,3.0,mp-448Co1_N1
249,mp-27638,Ni,I,Ni1 I2,2.0,mp-27638Ni1_I2
250,mp-27396,Ni,Cl,Ni1 Cl2,2.0,mp-27396Ni1_Cl2
251,mp-27637,Ni,Br,Ni1 Br2,2.0,mp-27637Ni1_Br2
252,mp-614777,Ni,F,Ni2 F6,3.0,mp-614777Ni2_F6
253,mp-559798,Ni,F,Ni2 F4,2.0,mp-559798Ni2_F4
254,mp-561428,Ni,F,Ni2 F6,3.0,mp-561428Ni2_F6
255,mp-656887,Ni,O,Ni6 O8,2.6666666666666665,mp-656887Ni6_O8
256,mp-19009,Ni,O,Ni2 O2,2.0,mp-19009Ni2_O2
257,mp-976920,Ni,S,Ni18 S16,1.7777777777777777,mp-976920Ni18_S16
258,mp-1050,Ni,S,Ni6 S8,2.6666666666666665,mp-1050Ni6_S8
259,mp-362,Ni,S,Ni3 S2,1.3333333333333333,mp-362Ni3_S2
260,mp-1180046,Ni,S,Ni2 S4,4.0,mp-1180046Ni2_S4
